asin,helpful,rating,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
B00000001,2/2,2,This Kindle book review sample number 1. Interesting content and readable format.,"02 02, 2014",A00000000000001,Reviewer1,Review summary 1,1400086400
B00000002,3/3,3,This Kindle book review sample number 2. Interesting content and readable format.,"03 03, 2014",A00000000000002,Reviewer2,Review summary 2,1400172800
B00000003,4/4,4,This Kindle book review sample number 3. Interesting content and readable format.,"04 04, 2014",A00000000000003,Reviewer3,Review summary 3,1400259200
B00000004,5/5,5,This Kindle book review sample number 4. Interesting content and readable format.,"05 05, 2014",A00000000000004,Reviewer4,Review summary 4,1400345600
B00000005,1/1,1,This Kindle book review sample number 5. Interesting content and readable format.,"06 06, 2014",A00000000000005,Reviewer5,Review summary 5,1400432000
B00000006,2/2,2,This Kindle book review sample number 6. Interesting content and readable format.,"07 07, 2014",A00000000000006,Reviewer6,Review summary 6,1400518400
B00000007,3/3,3,This Kindle book review sample number 7. Interesting content and readable format.,"08 08, 2014",A00000000000007,Reviewer7,Review summary 7,1400604800
B00000008,4/4,4,This Kindle book review sample number 8. Interesting content and readable format.,"09 09, 2014",A00000000000008,Reviewer8,Review summary 8,1400691200
B00000009,5/5,5,This Kindle book review sample number 9. Interesting content and readable format.,"10 10, 2014",A00000000000009,Reviewer9,Review summary 9,1400777600
B00000010,1/1,1,This Kindle book review sample number 10. Interesting content and readable format.,"11 11, 2014",A00000000000010,Reviewer10,Review summary 10,1400864000
B00000011,2/2,2,This Kindle book review sample number 11. Interesting content and readable format.,"12 12, 2014",A00000000000011,Reviewer11,Review summary 11,1400950400
B00000012,3/3,3,This Kindle book review sample number 12. Interesting content and readable format.,"01 13, 2014",A00000000000012,Reviewer12,Review summary 12,1401036800
B00000013,4/4,4,This Kindle book review sample number 13. Interesting content and readable format.,"02 14, 2014",A00000000000013,Reviewer13,Review summary 13,1401123200
B00000014,5/5,5,This Kindle book review sample number 14. Interesting content and readable format.,"03 15, 2014",A00000000000014,Reviewer14,Review summary 14,1401209600
B00000015,1/1,1,This Kindle book review sample number 15. Interesting content and readable format.,"04 16, 2014",A00000000000015,Reviewer15,Review summary 15,1401296000
B00000016,2/2,2,This Kindle book review sample number 16. Interesting content and readable format.,"05 17, 2014",A00000000000016,Reviewer16,Review summary 16,1401382400
B00000017,3/3,3,This Kindle book review sample number 17. Interesting content and readable format.,"06 18, 2014",A00000000000017,Reviewer17,Review summary 17,1401468800
B00000018,4/4,4,This Kindle book review sample number 18. Interesting content and readable format.,"07 19, 2014",A00000000000018,Reviewer18,Review summary 18,1401555200
B00000019,5/5,5,This Kindle book review sample number 19. Interesting content and readable format.,"08 20, 2014",A00000000000019,Reviewer19,Review summary 19,1401641600
B00000020,1/1,1,This Kindle book review sample number 20. Interesting content and readable format.,"09 21, 2014",A00000000000020,Reviewer20,Review summary 20,1401728000
B00000021,2/2,2,This Kindle book review sample number 21. Interesting content and readable format.,"10 22, 2014",A00000000000021,Reviewer21,Review summary 21,1401814400
B00000022,3/3,3,This Kindle book review sample number 22. Interesting content and readable format.,"11 23, 2014",A00000000000022,Reviewer22,Review summary 22,1401900800
B00000023,4/4,4,This Kindle book review sample number 23. Interesting content and readable format.,"12 24, 2014",A00000000000023,Reviewer23,Review summary 23,1401987200
B00000024,5/5,5,This Kindle book review sample number 24. Interesting content and readable format.,"01 25, 2014",A00000000000024,Reviewer24,Review summary 24,1402073600
B00000025,1/1,1,This Kindle book review sample number 25. Interesting content and readable format.,"02 26, 2014",A00000000000025,Reviewer25,Review summary 25,1402160000
B00000026,2/2,2,This Kindle book review sample number 26. Interesting content and readable format.,"03 27, 2014",A00000000000026,Reviewer26,Review summary 26,1402246400
B00000027,3/3,3,This Kindle book review sample number 27. Interesting content and readable format.,"04 28, 2014",A00000000000027,Reviewer27,Review summary 27,1402332800
B00000028,4/4,4,This Kindle book review sample number 28. Interesting content and readable format.,"05 01, 2014",A00000000000028,Reviewer28,Review summary 28,1402419200
B00000029,5/5,5,This Kindle book review sample number 29. Interesting content and readable format.,"06 02, 2014",A00000000000029,Reviewer29,Review summary 29,1402505600
B00000030,1/1,1,This Kindle book review sample number 30. Interesting content and readable format.,"07 03, 2014",A00000000000030,Reviewer30,Review summary 30,1402592000
B00000031,2/2,2,This Kindle book review sample number 31. Interesting content and readable format.,"08 04, 2014",A00000000000031,Reviewer31,Review summary 31,1402678400
B00000032,3/3,3,This Kindle book review sample number 32. Interesting content and readable format.,"09 05, 2014",A00000000000032,Reviewer32,Review summary 32,1402764800
B00000033,4/4,4,This Kindle book review sample number 33. Interesting content and readable format.,"10 06, 2014",A00000000000033,Reviewer33,Review summary 33,1402851200
